"iter","n_obs","n_col_nc","z_u_coef","nonlinear_weight","bonf_pval","f_pval","wald_pval","gam_wald.no.p","gam_wald.no.p.smooth.cntrl","kci_pval","itp_ftest_pval","idp_wilcox_pval","cntrl_observed"
27,10000,10,0,0,0.916111931559678,0.75986066279445,0.755429446833027,0.302263063758935,0.302246268811858,NA,NA,NA,TRUE
28,10000,10,0,0,0.75861860708413,0.334971879483206,0.350801564501655,0.898810858886671,0.898810926311457,NA,NA,NA,TRUE
29,10000,10,0,0,0.759901340611104,0.490291158826006,0.496520378558077,0.125946026422915,0.125966841824832,NA,NA,NA,TRUE
30,10000,10,0,0,1.34959800647545,0.755740548204417,0.75551834506384,0.517980499135222,0.517979543151037,NA,NA,NA,TRUE
31,10000,10,0,0,1.49823498454563,0.642717744552717,0.630715134547469,0.176026663270027,0.176022153273764,NA,NA,NA,TRUE
32,10000,10,0,0,0.543133664815828,0.612734718083549,0.612953799254373,0.830775376079964,0.83077171471269,NA,NA,NA,TRUE
33,10000,10,0,0,0.444032947646468,0.382164623973507,0.381965671536401,0.310292199292155,0.310364361330923,NA,NA,NA,TRUE
34,10000,10,0,0,1.66742986012086,0.866073986832627,0.85329402103024,0.719190800479617,0.719123392035878,NA,NA,NA,TRUE
35,10000,10,0,0,0.823353483600544,0.211172277197315,0.223078080022465,0.445765713552038,0.445718433145955,NA,NA,NA,TRUE
36,10000,10,0,0,1.22833089252295,0.573088341085058,0.588787862625797,0.864807440197586,0.864855544757166,NA,NA,NA,TRUE
37,10000,10,0,0,0.850843826730555,0.590504074131236,0.589226903278063,0.812615346791138,0.812609605090704,NA,NA,NA,TRUE
38,10000,10,0,0,0.299187771830204,0.437993576603466,0.403301088403383,0.223349504751479,0.223346105692442,NA,NA,NA,TRUE
39,10000,10,0,0,0.603303409753458,0.485717347304747,0.434848320837247,0.898314032789356,0.898307734722233,NA,NA,NA,TRUE
40,10000,10,0,0,0.48052358213512,0.711449187265821,0.717741121903551,0.440937140563402,0.440965500143797,NA,NA,NA,TRUE
41,10000,10,0,0,0.30330320564832,0.56882712232313,0.564692262178196,0.975941234040792,0.975902330145718,NA,NA,NA,TRUE
42,10000,10,0,0,2.06128940709189,0.754201169559392,0.763758040672525,0.335014545974025,0.335039360823333,NA,NA,NA,TRUE
43,10000,10,0,0,0.952168561993004,0.269049789924526,0.26980955994769,0.816090426330684,0.816132784787625,NA,NA,NA,TRUE
44,10000,10,0,0,0.122564506040112,0.550890414407419,0.544959405956816,0.143298163913625,0.14328266687703,NA,NA,NA,TRUE
45,10000,10,0,0,0.0898745604446275,0.0732218812072679,0.065828358711284,0.333867532157971,0.333919879404573,NA,NA,NA,TRUE
46,10000,10,0,0,0.728021529283387,0.498069434307504,0.482935634496856,0.92144783473751,0.921461685916912,NA,NA,NA,TRUE
47,10000,10,0,0,0.481425988613878,0.233818488200454,0.240350542259811,0.0327785846763682,0.0252945786342475,NA,NA,NA,TRUE
